,tract
"(134060245, <shapely.geometry.point.Point object at 0x165d54c88>)",6904.0
"(134060256, <shapely.geometry.point.Point object at 0x165d54cc0>)",6904.0
"(134060259, <shapely.geometry.point.Point object at 0x165d54f28>)",6904.0
"(134060266, <shapely.geometry.point.Point object at 0x165d54c50>)",6904.0
"(1061525801, <shapely.geometry.point.Point object at 0x165d54b70>)",7405.0
"(1061525807, <shapely.geometry.point.Point object at 0x165d54be0>)",7448.0
"(134060337, <shapely.geometry.point.Point object at 0x165d54b00>)",7409.0
"(134060348, <shapely.geometry.point.Point object at 0x165d54b38>)",7457.0
"(134060351, <shapely.geometry.point.Point object at 0x165d54a90>)",7457.0
"(134060354, <shapely.geometry.point.Point object at 0x165d54ac8>)",7457.0
"(1061525832, <shapely.geometry.point.Point object at 0x165d549e8>)",7443.0
"(134060361, <shapely.geometry.point.Point object at 0x165d54a58>)",7458.0
"(134060364, <shapely.geometry.point.Point object at 0x165d54978>)",7458.0
"(134060372, <shapely.geometry.point.Point object at 0x165d549b0>)",7457.0
"(134060383, <shapely.geometry.point.Point object at 0x165d54c18>)",7466.0
"(134060392, <shapely.geometry.point.Point object at 0x165d54940>)",7466.0
"(134060401, <shapely.geometry.point.Point object at 0x165d54860>)",7466.0
"(1963788756, <shapely.geometry.point.Point object at 0x165d548d0>)",6701.0
"(134060403, <shapely.geometry.point.Point object at 0x165d547b8>)",7466.0
"(134060406, <shapely.geometry.point.Point object at 0x165d54828>)",7466.0
"(134060409, <shapely.geometry.point.Point object at 0x165d54748>)",7466.0
"(134060413, <shapely.geometry.point.Point object at 0x165d54780>)",7466.0
"(134060417, <shapely.geometry.point.Point object at 0x165d546d8>)",7466.0
"(134060423, <shapely.geometry.point.Point object at 0x165d54710>)",7466.0
"(1061525951, <shapely.geometry.point.Point object at 0x165d54630>)",7443.0
"(1061525958, <shapely.geometry.point.Point object at 0x165d546a0>)",7448.0
"(1061526049, <shapely.geometry.point.Point object at 0x165d54588>)",7443.0
"(1061526162, <shapely.geometry.point.Point object at 0x165d545f8>)",7443.0
"(134060791, <shapely.geometry.point.Point object at 0x165d54518>)",7465.0
"(134060799, <shapely.geometry.point.Point object at 0x165d54550>)",7465.0
"(134060817, <shapely.geometry.point.Point object at 0x165d54908>)",7466.0
"(134060972, <shapely.geometry.point.Point object at 0x165d544e0>)",7464.0
"(134060985, <shapely.geometry.point.Point object at 0x165d54400>)",7409.0
"(134061005, <shapely.geometry.point.Point object at 0x165d54470>)",7409.0
"(134061026, <shapely.geometry.point.Point object at 0x165d54390>)",7409.0
"(134061041, <shapely.geometry.point.Point object at 0x165d543c8>)",2500.0
"(134061098, <shapely.geometry.point.Point object at 0x165d54320>)",7409.0
"(1969331268, <shapely.geometry.point.Point object at 0x165d54358>)",3600.0
"(134061130, <shapely.geometry.point.Point object at 0x165d542b0>)",3401.0
"(134061133, <shapely.geometry.point.Point object at 0x165d542e8>)",3500.0
"(2424937553, <shapely.geometry.point.Point object at 0x165d54208>)",7444.0
"(2424937554, <shapely.geometry.point.Point object at 0x165d54278>)",7444.0
"(134061138, <shapely.geometry.point.Point object at 0x165d54198>)",7002.0
"(134061141, <shapely.geometry.point.Point object at 0x165d541d0>)",7002.0
"(134061143, <shapely.geometry.point.Point object at 0x165d544a8>)",7002.0
"(134061145, <shapely.geometry.point.Point object at 0x165d54160>)",7002.0
"(134061148, <shapely.geometry.point.Point object at 0x165d54080>)",7002.0
"(134061151, <shapely.geometry.point.Point object at 0x165d540f0>)",7002.0
"(134061153, <shapely.geometry.point.Point object at 0x165d54048>)",7002.0
"(134061158, <shapely.geometry.point.Point object at 0x165d54128>)",7002.0
"(134061182, <shapely.geometry.point.Point object at 0x165d51dd8>)",7002.0
"(134061185, <shapely.geometry.point.Point object at 0x165d51c50>)",7002.0
"(3959496068, <shapely.geometry.point.Point object at 0x165d519b0>)",5800.0
"(134061187, <shapely.geometry.point.Point object at 0x165d51828>)",7001.0
"(134061214, <shapely.geometry.point.Point object at 0x165d515f8>)",7001.0
"(134061217, <shapely.geometry.point.Point object at 0x165d513c8>)",7001.0
"(134061221, <shapely.geometry.point.Point object at 0x165d51198>)",7001.0
"(134061223, <shapely.geometry.point.Point object at 0x165d51f98>)",7001.0
"(134061225, <shapely.geometry.point.Point object at 0x165d51f28>)",7001.0
"(4706114727, <shapely.geometry.point.Point object at 0x165d51f60>)",5700.0
"(134061249, <shapely.geometry.point.Point object at 0x165d51eb8>)",6906.0
"(134061262, <shapely.geometry.point.Point object at 0x165d51ef0>)",6906.0
"(134061297, <shapely.geometry.point.Point object at 0x165d51e48>)",6906.0
"(134061321, <shapely.geometry.point.Point object at 0x165d51e80>)",6906.0
"(134061352, <shapely.geometry.point.Point object at 0x165d51da0>)",6905.0
"(3959496107, <shapely.geometry.point.Point object at 0x165d51e10>)",5800.0
"(134061447, <shapely.geometry.point.Point object at 0x165d51d30>)",6905.0
"(134061457, <shapely.geometry.point.Point object at 0x165d51d68>)",6905.0
"(1865260434, <shapely.geometry.point.Point object at 0x165d51cf8>)",7467.0
"(134061466, <shapely.geometry.point.Point object at 0x165d51c18>)",3401.0
"(134061468, <shapely.geometry.point.Point object at 0x165d51c88>)",3401.0
"(1865260457, <shapely.geometry.point.Point object at 0x165d51b70>)",7467.0
"(134061486, <shapely.geometry.point.Point object at 0x165d51be0>)",7408.0
"(134061523, <shapely.geometry.point.Point object at 0x165d51b00>)",7408.0
"(134061534, <shapely.geometry.point.Point object at 0x165d51b38>)",7408.0
"(134061543, <shapely.geometry.point.Point object at 0x165d51a90>)",7408.0
"(134061552, <shapely.geometry.point.Point object at 0x165d51ac8>)",3100.0
"(4139884040, <shapely.geometry.point.Point object at 0x165d51a20>)",4700.0
"(134061588, <shapely.geometry.point.Point object at 0x165d51a58>)",7409.0
"(134061624, <shapely.geometry.point.Point object at 0x165d51978>)",3401.0
"(134061649, <shapely.geometry.point.Point object at 0x165d519e8>)",3401.0
"(134061673, <shapely.geometry.point.Point object at 0x165d51908>)",6904.0
"(134061689, <shapely.geometry.point.Point object at 0x165d51940>)",6904.0
"(134061690, <shapely.geometry.point.Point object at 0x165d51cc0>)",6904.0
"(134061695, <shapely.geometry.point.Point object at 0x165d518d0>)",6904.0
"(134061707, <shapely.geometry.point.Point object at 0x165d517f0>)",6904.0
"(134061723, <shapely.geometry.point.Point object at 0x165d51860>)",7451.0
"(4129660603, <shapely.geometry.point.Point object at 0x165d51748>)",7440.0
"(134061763, <shapely.geometry.point.Point object at 0x165d517b8>)",7451.0
"(134061777, <shapely.geometry.point.Point object at 0x165d516d8>)",6904.0
"(134061786, <shapely.geometry.point.Point object at 0x165d51710>)",6904.0
"(134061787, <shapely.geometry.point.Point object at 0x165d51668>)",6904.0
"(134061794, <shapely.geometry.point.Point object at 0x165d516a0>)",6904.0
"(134061825, <shapely.geometry.point.Point object at 0x165d515c0>)",3100.0
"(134061833, <shapely.geometry.point.Point object at 0x165d51630>)",7435.0
"(134061843, <shapely.geometry.point.Point object at 0x165d51518>)",7435.0
"(134061853, <shapely.geometry.point.Point object at 0x165d51588>)",7435.0
"(134061862, <shapely.geometry.point.Point object at 0x165d514a8>)",7435.0
"(134061892, <shapely.geometry.point.Point object at 0x165d514e0>)",6102.0
"(134061898, <shapely.geometry.point.Point object at 0x165d51898>)",6102.0
"(134061919, <shapely.geometry.point.Point object at 0x165d51470>)",6102.0
"(134061933, <shapely.geometry.point.Point object at 0x165d51390>)",6102.0
"(134061956, <shapely.geometry.point.Point object at 0x165d51400>)",6102.0
"(134061989, <shapely.geometry.point.Point object at 0x165d512e8>)",6101.0
"(134061993, <shapely.geometry.point.Point object at 0x165d51358>)",6101.0
"(1873946511, <shapely.geometry.point.Point object at 0x165d51278>)",5100.0
"(134062066, <shapely.geometry.point.Point object at 0x165d512b0>)",7435.0
"(134062121, <shapely.geometry.point.Point object at 0x165d51208>)",6604.0
"(134062158, <shapely.geometry.point.Point object at 0x165d51240>)",6604.0
"(134062168, <shapely.geometry.point.Point object at 0x165d51160>)",7449.0
"(134062172, <shapely.geometry.point.Point object at 0x165d511d0>)",7449.0
"(134062181, <shapely.geometry.point.Point object at 0x165d510f0>)",7449.0
"(134062186, <shapely.geometry.point.Point object at 0x165d51128>)",2600.0
"(134062189, <shapely.geometry.point.Point object at 0x165d51438>)",2600.0
"(134062192, <shapely.geometry.point.Point object at 0x165d510b8>)",2600.0
"(134062200, <shapely.geometry.point.Point object at 0x165d51048>)",2000.0
"(133926303, <shapely.geometry.point.Point object at 0x165d51080>)",600.0
"(133926307, <shapely.geometry.point.Point object at 0x165d4bfd0>)",600.0
"(133926310, <shapely.geometry.point.Point object at 0x165d4bdd8>)",600.0
"(134062276, <shapely.geometry.point.Point object at 0x165d4bc50>)",2900.0
"(134062292, <shapely.geometry.point.Point object at 0x165d4ba20>)",2900.0
"(134062329, <shapely.geometry.point.Point object at 0x165d4b898>)",2500.0
"(1817026839, <shapely.geometry.point.Point object at 0x165d4b518>)",7514.0
"(134062365, <shapely.geometry.point.Point object at 0x165d4b390>)",2000.0
"(134062369, <shapely.geometry.point.Point object at 0x165d4b160>)",2000.0
"(134062372, <shapely.geometry.point.Point object at 0x165d4bf98>)",2000.0
"(134062374, <shapely.geometry.point.Point object at 0x165d4bf28>)",0.0
"(134062378, <shapely.geometry.point.Point object at 0x165d4bf60>)",2400.0
"(1817026867, <shapely.geometry.point.Point object at 0x165d4beb8>)",7514.0
"(134062393, <shapely.geometry.point.Point object at 0x165d4bef0>)",2700.0
"(134062399, <shapely.geometry.point.Point object at 0x165d4be48>)",2700.0
"(134062407, <shapely.geometry.point.Point object at 0x165d4be80>)",0.0
"(134062408, <shapely.geometry.point.Point object at 0x165d4bda0>)",2800.0
"(1817026891, <shapely.geometry.point.Point object at 0x165d4be10>)",7514.0
"(134062411, <shapely.geometry.point.Point object at 0x165d4bd30>)",2800.0
"(134062414, <shapely.geometry.point.Point object at 0x165d4bd68>)",2800.0
"(134062425, <shapely.geometry.point.Point object at 0x165d4bcf8>)",2700.0
"(134062428, <shapely.geometry.point.Point object at 0x165d4bc18>)",2700.0
"(1817026912, <shapely.geometry.point.Point object at 0x165d4bc88>)",7514.0
"(1817026918, <shapely.geometry.point.Point object at 0x165d4bb70>)",7449.0
"(1817026933, <shapely.geometry.point.Point object at 0x165d4bbe0>)",7449.0
"(134062453, <shapely.geometry.point.Point object at 0x165d4bb00>)",6805.0
"(1817026944, <shapely.geometry.point.Point object at 0x165d4bb38>)",7514.0
"(134062470, <shapely.geometry.point.Point object at 0x165d4ba90>)",6805.0
"(134062483, <shapely.geometry.point.Point object at 0x165d4bac8>)",6806.0
"(134062489, <shapely.geometry.point.Point object at 0x165d4b9e8>)",6806.0
"(1817026969, <shapely.geometry.point.Point object at 0x165d4ba58>)",7514.0
"(134062498, <shapely.geometry.point.Point object at 0x165d4b978>)",7424.0
"(134062513, <shapely.geometry.point.Point object at 0x165d4b9b0>)",7424.0
"(1817027022, <shapely.geometry.point.Point object at 0x165d4bcc0>)",7449.0
"(1817027023, <shapely.geometry.point.Point object at 0x165d4b940>)",7514.0
"(1944953310, <shapely.geometry.point.Point object at 0x165d4b860>)",7456.0
"(134062565, <shapely.geometry.point.Point object at 0x165d4b8d0>)",7424.0
"(134062573, <shapely.geometry.point.Point object at 0x165d4b7b8>)",7424.0
"(1944953331, <shapely.geometry.point.Point object at 0x165d4b828>)",7456.0
"(1817027099, <shapely.geometry.point.Point object at 0x165d4b710>)",7449.0
"(134062639, <shapely.geometry.point.Point object at 0x165d4b780>)",7440.0
"(1817027124, <shapely.geometry.point.Point object at 0x165d4b6a0>)",7514.0
"(1817027188, <shapely.geometry.point.Point object at 0x165d4b6d8>)",7514.0
"(134062815, <shapely.geometry.point.Point object at 0x165d4b5f8>)",7432.0
"(134062824, <shapely.geometry.point.Point object at 0x165d4b668>)",7443.0
"(134062825, <shapely.geometry.point.Point object at 0x165d4b588>)",7443.0
"(134062860, <shapely.geometry.point.Point object at 0x165d4b5c0>)",7432.0
"(134062943, <shapely.geometry.point.Point object at 0x165d4b4e0>)",7315.0
"(134062946, <shapely.geometry.point.Point object at 0x165d4b550>)",7315.0
"(134062950, <shapely.geometry.point.Point object at 0x165d4b470>)",7315.0
"(134062962, <shapely.geometry.point.Point object at 0x165d4b4a8>)",7315.0
"(134062985, <shapely.geometry.point.Point object at 0x165d4b908>)",7443.0
"(134062990, <shapely.geometry.point.Point object at 0x165d4b438>)",7443.0
"(2424939408, <shapely.geometry.point.Point object at 0x165d4b358>)",7444.0
"(134063115, <shapely.geometry.point.Point object at 0x165d4b3c8>)",6905.0
"(134063125, <shapely.geometry.point.Point object at 0x165d4b2b0>)",6905.0
"(134063148, <shapely.geometry.point.Point object at 0x165d4b320>)",6905.0
"(134063152, <shapely.geometry.point.Point object at 0x165d4b240>)",6905.0
"(134063183, <shapely.geometry.point.Point object at 0x165d4b278>)",6905.0
"(134063187, <shapely.geometry.point.Point object at 0x165d4b1d0>)",6905.0
"(134063203, <shapely.geometry.point.Point object at 0x165d4b208>)",0.0
"(134063223, <shapely.geometry.point.Point object at 0x165d4b128>)",500.0
"(134063249, <shapely.geometry.point.Point object at 0x165d4b198>)",1800.0
"(134063255, <shapely.geometry.point.Point object at 0x165d4b080>)",2200.0
"(134063262, <shapely.geometry.point.Point object at 0x165d4b0f0>)",2100.0
"(134063268, <shapely.geometry.point.Point object at 0x165d4b048>)",2100.0
"(134063271, <shapely.geometry.point.Point object at 0x165d4b400>)",2100.0
"(134063274, <shapely.geometry.point.Point object at 0x165d47ef0>)",2100.0
"(134063284, <shapely.geometry.point.Point object at 0x165d47e48>)",2400.0
"(134063297, <shapely.geometry.point.Point object at 0x165d47be0>)",2400.0
"(134063319, <shapely.geometry.point.Point object at 0x165d479b0>)",2400.0
"(134063332, <shapely.geometry.point.Point object at 0x165d47828>)",2500.0
"(134063336, <shapely.geometry.point.Point object at 0x165d47780>)",2500.0
"(1804707052, <shapely.geometry.point.Point object at 0x165d47518>)",7441.0
"(134063349, <shapely.geometry.point.Point object at 0x165d47470>)",1800.0
"(134063352, <shapely.geometry.point.Point object at 0x165d47208>)",1800.0
"(134063355, <shapely.geometry.point.Point object at 0x165d47160>)",1800.0
"(134063413, <shapely.geometry.point.Point object at 0x165d47fd0>)",300.0
"(134063422, <shapely.geometry.point.Point object at 0x165d47f98>)",1100.0
"(134063427, <shapely.geometry.point.Point object at 0x165d47eb8>)",1100.0
"(134063431, <shapely.geometry.point.Point object at 0x165d47f28>)",1100.0
"(134063434, <shapely.geometry.point.Point object at 0x165d47e10>)",1100.0
"(134063437, <shapely.geometry.point.Point object at 0x165d47e80>)",1100.0
"(134063444, <shapely.geometry.point.Point object at 0x165d47da0>)",1100.0
"(134063447, <shapely.geometry.point.Point object at 0x165d47dd8>)",1100.0
"(134063451, <shapely.geometry.point.Point object at 0x165d47d30>)",1100.0
"(134063454, <shapely.geometry.point.Point object at 0x165d47d68>)",1100.0
"(134063457, <shapely.geometry.point.Point object at 0x165d47cc0>)",1100.0
"(134063460, <shapely.geometry.point.Point object at 0x165d47cf8>)",1100.0
"(134063463, <shapely.geometry.point.Point object at 0x165d47f60>)",1100.0
"(134063470, <shapely.geometry.point.Point object at 0x165d47c88>)",1100.0
"(134063483, <shapely.geometry.point.Point object at 0x165d47ba8>)",1100.0
"(134063491, <shapely.geometry.point.Point object at 0x165d47c18>)",700.0
"(134063496, <shapely.geometry.point.Point object at 0x165d47b00>)",200.0
"(2424939918, <shapely.geometry.point.Point object at 0x165d47b70>)",7440.0
"(134063505, <shapely.geometry.point.Point object at 0x165d47a90>)",200.0
"(134063509, <shapely.geometry.point.Point object at 0x165d47ac8>)",200.0
"(134063510, <shapely.geometry.point.Point object at 0x165d47a20>)",200.0
"(134063513, <shapely.geometry.point.Point object at 0x165d47a58>)",200.0
"(134063538, <shapely.geometry.point.Point object at 0x165d47978>)",200.0
"(134063546, <shapely.geometry.point.Point object at 0x165d479e8>)",700.0
"(134063551, <shapely.geometry.point.Point object at 0x165d47908>)",700.0
"(134063554, <shapely.geometry.point.Point object at 0x165d47940>)",700.0
"(134063561, <shapely.geometry.point.Point object at 0x165d47c50>)",700.0
"(134063574, <shapely.geometry.point.Point object at 0x165d478d0>)",7464.0
"(134063581, <shapely.geometry.point.Point object at 0x165d477f0>)",7464.0
"(134063605, <shapely.geometry.point.Point object at 0x165d47860>)",3401.0
"(134063608, <shapely.geometry.point.Point object at 0x165d47748>)",3401.0
"(134063611, <shapely.geometry.point.Point object at 0x165d477b8>)",3401.0
"(134063614, <shapely.geometry.point.Point object at 0x165d476d8>)",3401.0
"(134063642, <shapely.geometry.point.Point object at 0x165d47710>)",3100.0
"(134063645, <shapely.geometry.point.Point object at 0x165d47668>)",3100.0
"(6997517900, <shapely.geometry.point.Point object at 0x165d476a0>)",1100.0
"(134063722, <shapely.geometry.point.Point object at 0x165d475f8>)",3100.0
"(134063739, <shapely.geometry.point.Point object at 0x165d47630>)",3000.0
"(134063746, <shapely.geometry.point.Point object at 0x165d47898>)",3000.0
"(134063752, <shapely.geometry.point.Point object at 0x165d475c0>)",3100.0
"(134063755, <shapely.geometry.point.Point object at 0x165d474e0>)",3100.0
"(134063770, <shapely.geometry.point.Point object at 0x165d47550>)",0.0
"(134063789, <shapely.geometry.point.Point object at 0x165d47438>)",3000.0
"(134063792, <shapely.geometry.point.Point object at 0x165d474a8>)",2900.0
"(134063803, <shapely.geometry.point.Point object at 0x165d473c8>)",3000.0
"(134063807, <shapely.geometry.point.Point object at 0x165d47400>)",2900.0
"(134063811, <shapely.geometry.point.Point object at 0x165d47358>)",2900.0
"(134063814, <shapely.geometry.point.Point object at 0x165d47390>)",2900.0
"(134063817, <shapely.geometry.point.Point object at 0x165d472e8>)",3000.0
"(134063819, <shapely.geometry.point.Point object at 0x165d47320>)",2900.0
"(134063824, <shapely.geometry.point.Point object at 0x165d47588>)",3000.0
"(134063827, <shapely.geometry.point.Point object at 0x165d472b0>)",3000.0
"(134063832, <shapely.geometry.point.Point object at 0x165d471d0>)",3000.0
"(134063839, <shapely.geometry.point.Point object at 0x165d47240>)",3000.0
"(134063857, <shapely.geometry.point.Point object at 0x165d47128>)",4200.0
"(134063860, <shapely.geometry.point.Point object at 0x165d47198>)",0.0
"(134063865, <shapely.geometry.point.Point object at 0x165d470b8>)",4300.0
"(134063867, <shapely.geometry.point.Point object at 0x165d470f0>)",4200.0
"(134063869, <shapely.geometry.point.Point object at 0x165d47048>)",4200.0
"(134063872, <shapely.geometry.point.Point object at 0x165d47080>)",4200.0
"(134063874, <shapely.geometry.point.Point object at 0x165d47278>)",4200.0
"(134063876, <shapely.geometry.point.Point object at 0x165c82f60>)",4200.0
"(134063879, <shapely.geometry.point.Point object at 0x165c82cf8>)",4300.0
"(134063883, <shapely.geometry.point.Point object at 0x165c82c50>)",3800.0
"(134063886, <shapely.geometry.point.Point object at 0x165c829e8>)",3800.0
"(134063894, <shapely.geometry.point.Point object at 0x165c82940>)",0.0
"(134063900, <shapely.geometry.point.Point object at 0x165c826d8>)",5000.0
"(134063912, <shapely.geometry.point.Point object at 0x165c82358>)",3402.0
"(4054165288, <shapely.geometry.point.Point object at 0x165c821d0>)",7405.0
"(134063918, <shapely.geometry.point.Point object at 0x165c82128>)",3402.0
"(134063922, <shapely.geometry.point.Point object at 0x165c82fd0>)",3402.0
"(134063929, <shapely.geometry.point.Point object at 0x165c82f28>)",4000.0
"(134063952, <shapely.geometry.point.Point object at 0x165c82f98>)",6400.0
"(134063956, <shapely.geometry.point.Point object at 0x165c82eb8>)",6400.0
"(134063958, <shapely.geometry.point.Point object at 0x165c82ef0>)",5600.0
"(134063961, <shapely.geometry.point.Point object at 0x165c82e48>)",5600.0
"(134063971, <shapely.geometry.point.Point object at 0x165c82e80>)",5600.0
"(134063979, <shapely.geometry.point.Point object at 0x165c82dd8>)",5600.0
"(134063982, <shapely.geometry.point.Point object at 0x165c82e10>)",5600.0
"(134063985, <shapely.geometry.point.Point object at 0x165c82da0>)",5600.0
"(134063988, <shapely.geometry.point.Point object at 0x165c82cc0>)",5600.0
"(134064002, <shapely.geometry.point.Point object at 0x165c82d30>)",6505.0
"(134064046, <shapely.geometry.point.Point object at 0x165c82c18>)",5600.0
"(134064052, <shapely.geometry.point.Point object at 0x165c82c88>)",5600.0
"(134064064, <shapely.geometry.point.Point object at 0x165c82ba8>)",5600.0
"(134064088, <shapely.geometry.point.Point object at 0x165c82be0>)",6400.0
"(134064101, <shapely.geometry.point.Point object at 0x165c82b38>)",6400.0
"(134064110, <shapely.geometry.point.Point object at 0x165c82b70>)",6400.0
"(134064113, <shapely.geometry.point.Point object at 0x165c82ac8>)",6400.0
"(134064116, <shapely.geometry.point.Point object at 0x165c82b00>)",6400.0
"(134064121, <shapely.geometry.point.Point object at 0x165c82d68>)",6400.0
"(134064124, <shapely.geometry.point.Point object at 0x165c82a90>)",6400.0
"(134064175, <shapely.geometry.point.Point object at 0x165c829b0>)",7436.0
"(134064230, <shapely.geometry.point.Point object at 0x165c82a20>)",7436.0
"(134064234, <shapely.geometry.point.Point object at 0x165c82908>)",7436.0
"(134064252, <shapely.geometry.point.Point object at 0x165c82978>)",0.0
"(134064272, <shapely.geometry.point.Point object at 0x165c82898>)",7435.0
"(134064274, <shapely.geometry.point.Point object at 0x165c828d0>)",7435.0
"(133978816, <shapely.geometry.point.Point object at 0x165c82828>)",7433.0
"(1777416542, <shapely.geometry.point.Point object at 0x165c82860>)",6505.0
"(134064318, <shapely.geometry.point.Point object at 0x165c827b8>)",7435.0
"(134064362, <shapely.geometry.point.Point object at 0x165c827f0>)",2500.0
"(134064376, <shapely.geometry.point.Point object at 0x165c82a58>)",7444.0
"(134064395, <shapely.geometry.point.Point object at 0x165c82780>)",7444.0
"(5559920920, <shapely.geometry.point.Point object at 0x165c826a0>)",6805.0
"(134064410, <shapely.geometry.point.Point object at 0x165c82710>)",7457.0
"(134064419, <shapely.geometry.point.Point object at 0x165c825f8>)",7457.0
"(134064438, <shapely.geometry.point.Point object at 0x165c82668>)",6506.0
"(134064454, <shapely.geometry.point.Point object at 0x165c82550>)",6505.0
"(134064505, <shapely.geometry.point.Point object at 0x165c825c0>)",5600.0
"(134064507, <shapely.geometry.point.Point object at 0x165c824e0>)",5600.0
"(134064513, <shapely.geometry.point.Point object at 0x165c82518>)",6400.0
"(134064519, <shapely.geometry.point.Point object at 0x165c82438>)",6400.0
"(134064523, <shapely.geometry.point.Point object at 0x165c824a8>)",5600.0
"(134064525, <shapely.geometry.point.Point object at 0x165c823c8>)",5600.0
"(134064532, <shapely.geometry.point.Point object at 0x165c82400>)",5600.0
"(3479546328, <shapely.geometry.point.Point object at 0x165c82320>)",7466.0
"(5559921128, <shapely.geometry.point.Point object at 0x165c82390>)",6805.0
"(3590695561, <shapely.geometry.point.Point object at 0x165c822b0>)",6602.0
"(134064880, <shapely.geometry.point.Point object at 0x165c822e8>)",200.0
"(134064883, <shapely.geometry.point.Point object at 0x165c82748>)",6202.0
"(134064945, <shapely.geometry.point.Point object at 0x165c82278>)",6102.0
"(1872079706, <shapely.geometry.point.Point object at 0x165c82198>)",6102.0
"(134065010, <shapely.geometry.point.Point object at 0x165c82208>)",7313.0
"(134065013, <shapely.geometry.point.Point object at 0x165c820f0>)",7313.0
"(134065015, <shapely.geometry.point.Point object at 0x165c82160>)",7313.0
"(5120568183, <shapely.geometry.point.Point object at 0x165c82080>)",6503.0
"(1872079737, <shapely.geometry.point.Point object at 0x165c820b8>)",6000.0
"(134065048, <shapely.geometry.point.Point object at 0x165c82048>)",6301.0
"(1940761522, <shapely.geometry.point.Point object at 0x165c82240>)",7433.0
"(4054166494, <shapely.geometry.point.Point object at 0x165c7fe80>)",7442.0
"(4054166495, <shapely.geometry.point.Point object at 0x165c7fdd8>)",7442.0
"(1872079904, <shapely.geometry.point.Point object at 0x165c7fb70>)",6102.0
"(134065228, <shapely.geometry.point.Point object at 0x165c7f7f0>)",6301.0
"(1872079949, <shapely.geometry.point.Point object at 0x165c7f668>)",6102.0
"(1872079950, <shapely.geometry.point.Point object at 0x165c7f438>)",6102.0
"(134065232, <shapely.geometry.point.Point object at 0x165c7f2b0>)",6301.0
"(134065242, <shapely.geometry.point.Point object at 0x165c7ffd0>)",6301.0
"(1872079963, <shapely.geometry.point.Point object at 0x165c7ff60>)",6000.0
"(1872079967, <shapely.geometry.point.Point object at 0x165c7ff98>)",6102.0
"(134065262, <shapely.geometry.point.Point object at 0x165c7ff28>)",6301.0
"(134065274, <shapely.geometry.point.Point object at 0x165c7fe48>)",6301.0
"(134065290, <shapely.geometry.point.Point object at 0x165c7feb8>)",6301.0
"(134065419, <shapely.geometry.point.Point object at 0x165c7fda0>)",3100.0
"(134065421, <shapely.geometry.point.Point object at 0x165c7fe10>)",7003.0
"(3515985190, <shapely.geometry.point.Point object at 0x165c7fd30>)",4300.0
"(134031156, <shapely.geometry.point.Point object at 0x165c7fd68>)",6400.0
"(134031161, <shapely.geometry.point.Point object at 0x165c7fcc0>)",6400.0
"(134065526, <shapely.geometry.point.Point object at 0x165c7fcf8>)",4600.0
"(134065540, <shapely.geometry.point.Point object at 0x165c7fc50>)",4600.0
"(134065616, <shapely.geometry.point.Point object at 0x165c7fc88>)",3100.0
"(134154372, <shapely.geometry.point.Point object at 0x165c7fef0>)",0.0
"(134065679, <shapely.geometry.point.Point object at 0x165c7fc18>)",7459.0
"(134065688, <shapely.geometry.point.Point object at 0x165c7fb38>)",6503.0
"(134065694, <shapely.geometry.point.Point object at 0x165c7fba8>)",6503.0
"(3515985493, <shapely.geometry.point.Point object at 0x165c7fa90>)",4300.0
"(3515985494, <shapely.geometry.point.Point object at 0x165c7fb00>)",4400.0
"(3515985497, <shapely.geometry.point.Point object at 0x165c7f9e8>)",4300.0
"(3515985498, <shapely.geometry.point.Point object at 0x165c7fa58>)",4900.0
"(3515985499, <shapely.geometry.point.Point object at 0x165c7f978>)",4400.0
"(3515985515, <shapely.geometry.point.Point object at 0x165c7f9b0>)",4400.0
"(3515985520, <shapely.geometry.point.Point object at 0x165c7f8d0>)",4900.0
"(134065777, <shapely.geometry.point.Point object at 0x165c7f940>)",6503.0
"(134065836, <shapely.geometry.point.Point object at 0x165c7f860>)",6602.0
"(134065842, <shapely.geometry.point.Point object at 0x165c7f898>)",6602.0
"(134065856, <shapely.geometry.point.Point object at 0x165c7f7b8>)",6504.0
"(134065871, <shapely.geometry.point.Point object at 0x165c7f828>)",7462.0
"(134065882, <shapely.geometry.point.Point object at 0x165c7f748>)",7312.0
"(134065888, <shapely.geometry.point.Point object at 0x165c7f780>)",7312.0
"(134065898, <shapely.geometry.point.Point object at 0x165c7fbe0>)",6703.0
"(134065901, <shapely.geometry.point.Point object at 0x165c7f710>)",6703.0
"(134065905, <shapely.geometry.point.Point object at 0x165c7f630>)",6703.0
"(134065908, <shapely.geometry.point.Point object at 0x165c7f6a0>)",6703.0
"(1866313554, <shapely.geometry.point.Point object at 0x165c7f588>)",7409.0
"(1866313563, <shapely.geometry.point.Point object at 0x165c7f5f8>)",7458.0
"(1866313566, <shapely.geometry.point.Point object at 0x165c7f518>)",7457.0
"(1866313570, <shapely.geometry.point.Point object at 0x165c7f550>)",7457.0
"(134066070, <shapely.geometry.point.Point object at 0x165c7f4a8>)",4000.0
"(134066195, <shapely.geometry.point.Point object at 0x165c7f4e0>)",5200.0
"(134066198, <shapely.geometry.point.Point object at 0x165c7f400>)",5200.0
"(134066212, <shapely.geometry.point.Point object at 0x165c7f470>)",7424.0
"(134066216, <shapely.geometry.point.Point object at 0x165c7f390>)",7424.0
"(134066286, <shapely.geometry.point.Point object at 0x165c7f3c8>)",7424.0
